Name,Year,Mileage,Engine_capacity,Engine_type,Power,Transmission,Drive,Fuel_consumption_mixed,Acceleration_to_100,Cost
BMW 3 серия 1.6 MT,1996,186450,1.6,Бензин,102,Механика,Задний,7.4,12.7,524699
BMW 3 серия 2.0 AT,2004,318000,2,Дизель,150,Автомат,Задний,6.9,9.1,530000
BMW 3 серия 2.0 MT,1996,444000,2,Бензин,150,Механика,Задний,9,10,530000
BMW 7 серия 4.4 AT,2002,389000,4.4,Бензин,333,Автомат,Задний,12.8,6.3,550000
BMW 5 серия 2.8 AT,1998,294205,2.8,Бензин,193,Автомат,Задний,10.7,8.8,550000
BMW 5 серия 2.5 AT,2004,188000,2.5,Бензин,192,Автомат,Задний,9.9,8.7,550000
BMW 3 серия 1.8 AT,2002,198000,1.8,Бензин,116,Автомат,Задний,7.8,11.9,550000
BMW 3 серия 2.2 MT,2001,370000,2.2,Бензин,170,Механика,Задний,8.9,8.2,560000
BMW 3 серия 2.5 MT,1987,5000,2.5,Бензин,171,Механика,Задний,9,8.3,567990
BMW 3 серия 2.0 MT,1997,339000,2,Бензин,150,Механика,Задний,9,10.2,570000
BMW X5 4.4 AT,2000,354000,4.4,Бензин,286,Автомат,Полный,13.9,7.5,570000
BMW 5 серия 2.5 MT,2001,379600,2.5,Бензин,192,Механика,Задний,9.4,8.1,570000
BMW 3 серия 2.4 MT,1987,273222,2.4,Дизель,86,Механика,Задний,7.3,16.1,570000
BMW 3 серия 1.6 MT,1982,100000,1.6,Бензин,90,Механика,Задний,8.3,12.5,599000
BMW 3 серия 2.2 AT,2002,230000,2.2,Бензин,170,Автомат,Задний,9.4,9.3,599999
BMW 3 серия 2.0 MT,1999,280532,2,Бензин,150,Механика,Задний,9,9.9,600000
BMW 5 серия 2.0 MT,1982,37000,2,Бензин,125,Механика,Задний,9.2,11.8,600000
BMW 5 серия 2.2 AT,2002,398500,2.2,Бензин,170,Автомат,Задний,9.9,9.1,600000
BMW 5 серия 3.4 MT,1990,260000,3.4,Бензин,211,Механика,Задний,9.8,7.7,600000
BMW 6 серия 4.4 AT,2004,160000,4.4,Бензин,333,Автомат,Задний,11.7,5.6,610000
BMW 5 серия 2.2 MT,2002,514000,2.2,Бензин,170,Механика,Задний,9,9.1,630000
BMW 5 серия 2.5 MT,1994,450000,2.5,Бензин,192,Механика,Задний,9.5,8.6,650000
BMW 5 серия 2.5 MT,1998,339300,2.5,Бензин,170,Механика,Задний,9.7,8.5,650000
BMW 5 серия 2.0 MT,1998,433000,2,Бензин,150,Механика,Задний,9.1,10.2,650000
BMW 3 серия 1.8 MT,1998,490000,1.8,Бензин,115,Механика,Задний,8.1,11.3,650000
BMW 3 серия 2.0 MT,2003,327688,2,Бензин,143,Механика,Задний,7.2,9.3,650000
BMW 3 серия 2.0 AT,2001,423000,2,Дизель,136,Автомат,Задний,7.1,11,650000
BMW X3 2.5 AT,2004,250700,2.5,Бензин,192,Автомат,Полный,11.9,9.8,664600
